Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.174,0.1378,0.0513,0.0513,0.0513,0.054,0.0347,0.1536,0.1482,0.1864
Hamm_score,0.059,0.075,0.0737,0.0737,0.0729,0.0721,0.0813,0.065,0.0691,0.0568
Examp_F1,0.6249,0.5375,0.53,0.53,0.5079,0.5356,0.3551,0.5961,0.5757,0.6411
Examp_prec,0.6964,0.6981,0.6432,0.6432,0.6595,0.6483,0.707,0.6721,0.7028,0.7472
Examp_rec,0.7537,0.6455,0.6801,0.6801,0.6387,0.6838,0.451,0.7313,0.6824,0.7382
Micro_F1,0.697,0.5872,0.5951,0.5951,0.5783,0.6024,0.4117,0.667,0.6251,0.6951
Micro_prec,0.6956,0.6339,0.6414,0.6414,0.6642,0.6518,0.7068,0.6653,0.663,0.7258
Micro_rec,0.6984,0.5468,0.555,0.555,0.512,0.56,0.2904,0.6688,0.5912,0.6669
Macro_F1,0.6197,0.2837,0.1869,0.1869,0.0779,0.1113,0.046,0.5895,0.3631,0.5823
Macro_prec,0.5936,0.5392,0.3125,0.3125,0.8197,0.7922,0.9218,0.5649,0.4968,0.634
Macro_rec,0.652,0.2422,0.192,0.192,0.0825,0.1093,0.0426,0.6202,0.325,0.5576
